Sym,Name,Last,Change,Percent,High,Low,Volume,Vol2,vol3,Time,Links
BSX,Boston Scientific Corp,13.29,+0.19,+1.45%,13.31,12.91,14,815,101,07/11/14,   
BTU,Peabody Energy Corp,15.93,unch,unch,15.97,15.72,4,884,900,07/11/14,   
BWA,Borgwarner Inc,66.19,+0.04,+0.06%,66.26,65.70,1,259,300,07/11/14,   
BXP,Boston Properties,119.42,-0.27,-0.23%,119.69,118.91,458,500,07/11/14,   
C,Citigroup Inc,47.00,+0.10,+0.21%,47.01,46.57,15,205,600,07/11/14,   
CA,CA Inc,27.98,-0.19,-0.67%,28.26,27.86,2,183,700,07/11/14,   
CAG,Conagra Foods,30.59,+0.08,+0.26%,30.71,30.44,2,937,500,07/11/14,   
CAH,Cardinal Health,70.48,-0.03,-0.04%,70.54,69.67,1,103,600,07/11/14,   
CAM,Cameron International Corp,67.69,-0.51,-0.75%,68.18,67.11,1,735,300,07/11/14,   
CAT,Caterpillar Inc,109.96,+0.60,+0.55%,109.99,108.65,1,992,600,07/11/14,   
CB,Chubb Corp,93.43,+0.25,+0.27%,93.62,92.95,899,500,07/11/14,   
CBG,CBRE Group Inc,32.55,-0.08,-0.25%,32.70,32.45,1,461,600,07/11/14,   
CBS,CBS Corp,61.35,-0.45,-0.73%,62.20,61.22,8,576,601,07/11/14,   
CCE,Coca-Cola Enterprises,48.34,-0.12,-0.25%,48.69,48.05,2,670,300,07/11/14,   
CCI,Crown Castle International Corp,74.60,+0.11,+0.15%,74.88,74.44,1,397,100,07/11/14,   
CCL,Carnival Corp,36.80,+0.37,+1.02%,36.94,36.29,4,623,900,07/11/14,   
CELG,Celgene Corp,89.19,+1.36,+1.55%,89.30,87.10,3,704,700,07/11/14,   
CERN,Cerner Corp,51.14,-0.10,-0.20%,51.38,50.93,1,205,000,07/11/14,   
CF,Cf Industries Holdings,239.78,-0.68,-0.28%,240.73,238.55,346,000,07/11/14,   
CFN,Carefusion Corp,44.81,+0.17,+0.38%,45.01,44.67,1,110,100,07/11/14,   
CHK,Chesapeake Energy Corp,28.18,-0.84,-2.89%,29.09,28.14,7,521,700,07/11/14,   
CHRW,C.H. Robinson Worldwide,63.44,-0.02,-0.03%,63.67,63.29,892,100,07/11/14,   
CI,Cigna Corp,93.36,+1.06,+1.15%,93.61,91.95,1,221,100,07/11/14,   
CINF,Cincinnati Financial Corp,47.64,-0.10,-0.21%,47.79,47.49,513,800,07/11/14,   
CL,Colgate-Palmolive Company,69.52,+0.10,+0.14%,69.62,69.25,1,681,400,07/11/14,   
CLX,Clorox Company,92.77,-0.26,-0.28%,93.09,92.60,563,500,07/11/14,   
CMA,Comerica Inc,50.47,+0.27,+0.54%,50.65,49.74,1,339,600,07/11/14,   
CMCSA,Comcast Corp,54.55,+0.20,+0.37%,54.64,54.17,7,054,500,07/11/14,   
CME,CME Group Inc,70.49,+0.36,+0.51%,70.59,69.74,1,406,300,07/11/14,   
CMG,Chipotle Mexican Grill,598.49,-2.12,-0.35%,601.50,597.50,224,600,07/11/14,   
CMI,Cummins Inc,152.23,+0.23,+0.15%,152.98,151.25,1,346,400,07/11/14,   
CMS,Cms Energy Corp,30.20,-0.19,-0.63%,30.45,30.15,1,516,200,07/11/14,   
CNP,Centerpoint Energy Inc,24.97,-0.09,-0.36%,25.15,24.91,1,817,400,07/11/14,   
CNX,Consol Energy Inc,43.29,-0.20,-0.46%,43.61,42.92,2,016,800,07/11/14,   
COF,Capital One Financial Corp,83.96,+0.27,+0.32%,84.08,83.32,1,934,500,07/11/14,   
COG,Cabot Oil & Gas Corp,33.88,-0.85,-2.45%,34.60,33.87,4,333,800,07/11/14,   
COH,Coach Inc,34.25,+0.15,+0.44%,34.42,34.04,4,177,000,07/11/14,   
